venue,year,doi,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.136,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.139,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.145,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.146,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.147,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.148,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.151,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.152,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.153,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.155,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.156,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.157,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.160,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.166,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.168,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.169,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.170,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.171,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.172,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.173,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.181,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.182,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.187,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.189,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.190,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.192,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.195,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.196,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.198,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.199,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.200,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.202,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.207,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.208,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.211,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.212,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.213,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.214,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.215,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.218,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.221,,,,,,,,,,
SciVis,2010,10.1109/TVCG.2010.223,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.160,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.163,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.166,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.167,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.169,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.174,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.175,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.176,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.178,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.179,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.181,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.183,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.185,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.186,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.187,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.188,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.190,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.191,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.192,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.193,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.195,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.196,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.197,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.201,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.202,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.205,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.209,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.212,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.213,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.220,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.223,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.226,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.227,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.229,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.232,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.233,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.234,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.237,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.239,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.247,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.250,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.251,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.253,,,,,,,,,,
InfoVis,2011,10.1109/TVCG.2011.255,,,,,,,,,,
VAST,2011,10.1109/VAST.2011.6102435,,,,,,,,,,
VAST,2011,10.1109/VAST.2011.6102437,,,,,,,,,,
VAST,2011,10.1109/VAST.2011.6102438,,,,,,,,,,
VAST,2011,10.1109/VAST.2011.6102439,,,,,,,,,,
VAST,2011,10.1109/VAST.2011.6102440,,,,,,,,,,
VAST,2011,10.1109/VAST.2011.6102441,,,,,,,,,,
VAST,2011,10.1109/VAST.2011.6102442,,,,,,,,,,
VAST,2011,10.1109/VAST.2011.6102443,,,,,,,,,,
VAST,2011,10.1109/VAST.2011.6102445,,,,,,,,,,
VAST,2011,10.1109/VAST.2011.6102446,,,,,,,,,,
VAST,2011,10.1109/VAST.2011.6102447,,,,,,,,,,
VAST,2011,10.1109/VAST.2011.6102448,,,,,,,,,,
VAST,2011,10.1109/VAST.2011.6102449,,,,,,,,,,
VAST,2011,10.1109/VAST.2011.6102450,,,,,,,,,,
VAST,2011,10.1109/VAST.2011.6102451,,,,,,,,,,
VAST,2011,10.1109/VAST.2011.6102453,,,,,,,,,,
VAST,2011,10.1109/VAST.2011.6102454,,,,,,,,,,
VAST,2011,10.1109/VAST.2011.6102455,,,,,,,,,,
VAST,2011,10.1109/VAST.2011.6102456,,,,,,,,,,
VAST,2011,10.1109/VAST.2011.6102457,,,,,,,,,,
VAST,2011,10.1109/VAST.2011.6102458,,,,,,,,,,
VAST,2011,10.1109/VAST.2011.6102459,,,,,,,,,,
VAST,2011,10.1109/VAST.2011.6102460,,,,,,,,,,
VAST,2011,10.1109/VAST.2011.6102461,,,,,,,,,,
VAST,2011,10.1109/VAST.2011.6102462,,,,,,,,,,
VAST,2011,10.1109/VAST.2011.6102463,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.159,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.161,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.162,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.164,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.165,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.168,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.170,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.171,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.173,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.177,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.182,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.184,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.189,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.194,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.198,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.199,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.200,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.203,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.204,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.206,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.207,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.208,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.211,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.214,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.215,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.216,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.217,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.218,,,,,,,,,,
SciVis,2011,10.1109/TVCG.2011.219,,,,,,,,,,
